title,pred_acc,rand_acc,right_branching_acc,chord_sequence
Red Clay,0.25,0.24545833333333195,0.25,Cm7 Bbm7 Dbsus Ebsus Fsus Gsus Cm7 Bbm7 Eb7 Ab^7 D%7 G7 Cm7
Equinox,0.18181818181818182,0.28912727272727506,0.36363636363636365,C#m7 C#m7 C#m7 C#m7 F#m7 F#m7 C#m7 C#m7 A7 G#7 C#m7 C#m7
"Jody Grind, The",0.36363636363636365,0.2907454545454573,0.36363636363636365,Bbm7 Bbm7 Bbm7 Bbm7 Eb7 Eb7 Bbm7 Bbm7 A7 B7 Bbm7 Bbm7
Mr. P.C.,0.5454545454545454,0.28926363636363883,0.36363636363636365,Cm7 Cm7 Cm7 Cm7 Fm7 Fm7 Cm7 Cm7 Ab7 G7 Cm7 Cm7
Blues For Wood,0.5833333333333334,0.2683833333333332,0.3333333333333333,Fm7 Fm7 Fm7 Fm7 Db7 Db7 Fm7 Fm7 Db7 Bb^7 G%7 C7 Fm7
Interplay,0.6363636363636364,0.2827454545454544,0.36363636363636365,Fm6 Fm6 Fm6 Fm6 F7 Bbm7 Bbm7 Fm6 Fm6 Db7 C7 Fm6
Solar,0.7142857142857143,0.24682142857143208,0.21428571428571427,Cm^7 Cm^7 Gm7 C7 F^7 F^7 Fm7 Bb7 Eb^7 Ebm7 Ab7 Db^7 D%7 G7 Cm^7
Birk's Works,0.5333333333333333,0.24068000000001025,0.2,Fm6 G%7 C7 Fm6 C%7 F7 Bbm7 Bbm7 Fm6 Fm6 Abm7 Db7 G%7 C7 Fm6 Fm6
Blue In Green,0.3333333333333333,0.22322000000001194,0.3333333333333333,Gm6 A7 Dm7 Db7 Cm7 F7 Bb^7 A7 Dm6 E7 Am7 Dm7 Gm6 A7 Dm6 Dm6
Booker's Waltz,0.3076923076923077,0.23683846153847554,0.15384615384615385,Ab^7 Eb7 G%7 C7 Fm7 Db7 Bb7 Db7 Ab^7 B7 Bbm7 Eb7 Ab^7 Ab^7
Contemplation,0.1875,0.2516875,0.3125,Cm7 Cm7 Cm7 Cm7 Cm7 Cm7 Cm7 Cm7 Ab^7 Ab^7 Ab^7 Ab^7 G7 G7 G7 G7 Cm7
Friday The 13th,0.3125,0.2202125,0.25,G^7 F7 Eb7 D7 G^7 F7 Eb7 D7 G^7 F7 Eb7 D7 G^7 F7 Eb7 D7 G^7
If You Never Come To Me,0.5,0.23460714285714612,0.14285714285714285,C^7 B^7 Bb^7 A7 Dm7 Dm7 Fm7 Bb7 E7 A7 D7 G7 C7 F7 C^7
Pent Up House,0.6,0.24204666666667826,0.26666666666666666,Am7 D7 G^7 G^7 Am7 D7 G^7 G^7 Dm7 G7 Cm7 F7 Am7 D7 G^7 G^7
Sweet Georgia Bright,0.26666666666666666,0.23542000000001162,0.26666666666666666,C7 C7 Bb7 Bb7 C7 C7 Bb7 Bb7 Eb7 Eb7 Eb7 Eb7 D7 Db7 C7 C7
Valse Hot,0.42857142857142855,0.1961500000000049,0.14285714285714285,Ab^7 Db^7 Cm7 F7 Bbm7 Eb7 Ab^7 F7 Bbm7 Dbm7 Cm7 F7 Bbm7 Eb7 Ab^7
Wayne's Thang,0.2,0.246226666666678,0.2,Em7 Em7 C6 C6 B7 B7 Em7 Em7 Em7 Em7 C6 C6 B7 B7 Em7 Em7
